Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-04-04,1.7316827,1.884175857142857,2022,2022-04,2022Q2,False,-0.013384900000000144,-0.00767013266420169
United States,USA,2022-04-05,1.7408848,1.8391210428571427,2022,2022-04,2022Q2,False,0.00920209999999999,0.005313964273016003
United States,USA,2022-04-06,1.5886306,1.7784703142857143,2022,2022-04,2022Q2,False,-0.1522542,-0.08745794092751003
United States,USA,2022-04-07,1.5016282,1.7176403428571427,2022,2022-04,2022Q2,False,-0.08700239999999981,-0.05476565791946841
United States,USA,2022-04-08,1.4058418,1.647369157142857,2022,2022-04,2022Q2,False,-0.09578640000000016,-0.06378835986164899
United States,USA,2022-04-09,1.3301331,1.5776955428571429,2022,2022-04,2022Q2,True,-0.07570869999999985,-0.05385292996694213
United States,USA,2022-04-10,1.4501797,1.5355687,2022,2022-04,2022Q2,True,0.1200466,0.09025156956097091
United States,USA,2022-04-11,1.4472517,1.4949356999999999,2022,2022-04,2022Q2,False,-0.0029280000000000417,-0.0020190601206181436
United States,USA,2022-04-12,1.4271742,1.4501199,2022,2022-04,2022Q2,False,-0.02007749999999997,-0.013872846029477803
United States,USA,2022-04-13,1.4275925,1.4271144571428571,2022,2022-04,2022Q2,False,0.0004182999999999826,0.00029309666612520324
United States,USA,2022-04-14,1.5150132,1.4290266,2022,2022-04,2022Q2,False,0.08742070000000002,0.06123645227892416
United States,USA,2022-04-15,1.3723794,1.4242462571428571,2022,2022-04,2022Q2,False,-0.14263380000000003,-0.09414690248243385
United States,USA,2022-04-16,1.4505979,1.4414555142857144,2022,2022-04,2022Q2,True,0.07821849999999997,0.0569948077040503
United States,USA,2022-04-17,1.306291,1.4208999857142859,2022,2022-04,2022Q2,True,-0.1443068999999999,-0.09948097953264645
United States,USA,2022-04-18,1.2678092,1.395265342857143,2022,2022-04,2022Q2,False,-0.03848180000000001,-0.029458826555491813
United States,USA,2022-04-19,1.2627898,1.3717818571428573,2022,2022-04,2022Q2,False,-0.005019400000000118,-0.003959113090518773
United States,USA,2022-04-20,1.2807759,1.3508080571428571,2022,2022-04,2022Q2,False,0.017986100000000116,0.014243146404888662
United States,USA,2022-04-21,1.152782,1.299060742857143,2022,2022-04,2022Q2,False,-0.1279939000000001,-0.0999346567967121
United States,USA,2022-04-22,1.1293583,1.264343442857143,2022,2022-04,2022Q2,False,-0.023423699999999936,-0.020319279794445033
United States,USA,2022-04-23,1.1063528,1.2151655714285714,2022,2022-04,2022Q2,True,-0.023005500000000012,-0.020370417430854326
United States,USA,2022-04-24,1.0218601,1.1745325857142856,2022,2022-04,2022Q2,True,-0.08449269999999998,-0.07637048507492361
United States,USA,2022-04-25,1.0314806,1.140771357142857,2022,2022-04,2022Q2,False,0.009620500000000032,0.009414693850948952
United States,USA,2022-04-26,1.0331537,1.1079662000000001,2022,2022-04,2022Q2,False,0.001673099999999872,0.0016220372928001936
United States,USA,2022-04-27,0.9708298,1.0636881857142857,2022,2022-04,2022Q2,False,-0.06232389999999999,-0.06032393824849103
United States,USA,2022-04-28,0.9528437,1.0351255714285714,2022,2022-04,2022Q2,False,-0.017986100000000005,-0.0185265223626222
United States,USA,2022-04-29,1.0289708,1.0207845,2022,2022-04,2022Q2,False,0.0761271,0.07989463539508113
United States,USA,2022-04-30,0.87546176,0.9878000657142858,2022,2022-04,2022Q2,True,-0.15350903999999999,-0.14918697401325676
United States,USA,2022-05-01,0.9377856,0.9757894228571429,2022,2022-05,2022Q2,True,0.06232384000000002,0.07118967709109314
United States,USA,2022-05-02,0.9453147,0.9634800085714286,2022,2022-05,2022Q2,False,0.007529099999999955,0.008028594169072312
United States,USA,2022-05-03,0.9754309,0.9552338942857144,2022,2022-05,2022Q2,False,0.030116200000000037,0.031858385360980845
United States,USA,2022-05-04,0.9599545,0.9536802800000002,2022,2022-05,2022Q2,False,-0.015476399999999946,-0.015866218714211233
United States,USA,2022-05-05,1.0703807,0.9704712799999999,2022,2022-05,2022Q2,False,0.11042620000000003,0.11503274373941674
United States,USA,2022-05-06,1.1017517,0.9808685514285714,2022,2022-05,2022Q2,False,0.031370999999999816,0.029308263872844353
United States,USA,2022-05-07,1.1067711,1.0139127428571428,2022,2022-05,2022Q2,True,0.005019400000000118,0.004555835947428255
United States,USA,2022-05-08,1.1046797,1.0377547571428571,2022,2022-05,2022Q2,True,-0.0020914000000000765,-0.0018896409564724825
United States,USA,2022-05-09,1.0925496,1.0587883142857142,2022,2022-05,2022Q2,False,-0.012130100000000033,-0.010980648960961292
United States,USA,2022-05-10,1.0632699,1.0713367428571428,2022,2022-05,2022Q2,False,-0.029279699999999798,-0.02679942402614932
United States,USA,2022-05-11,1.0670344,1.0866338714285715,2022,2022-05,2022Q2,False,0.0037644999999999484,0.0035404933404019623
United States,USA,2022-05-12,0.9603728,1.0709184571428572,2022,2022-05,2022Q2,False,-0.10666160000000002,-0.09996078851815837
United States,USA,2022-05-13,0.86082196,1.0364999228571428,2022,2022-05,2022Q2,False,-0.09955084000000003,-0.10365853760123156
United States,USA,2022-05-14,0.84492725,0.9990936585714286,2022,2022-05,2022Q2,True,-0.01589470999999998,-0.01846457309244287
United States,USA,2022-05-15,0.82234013,0.9587594342857143,2022,2022-05,2022Q2,True,-0.02258712000000007,-0.026732621062937723
United States,USA,2022-05-16,0.82986915,0.9212336557142857,2022,2022-05,2022Q2,False,0.007529020000000108,0.00915560329033216
United States,USA,2022-05-17,0.831124,0.8880699557142858,2022,2022-05,2022Q2,False,0.0012548499999999185,0.0015121058542781896
United States,USA,2022-05-18,0.8486918,0.8568781557142858,2022,2022-05,2022Q2,False,0.017567800000000022,0.02113739947348403
United States,USA,2022-05-19,0.8382348,0.8394298699999999,2022,2022-05,2022Q2,False,-0.01045700000000005,-0.012321316171547858
United States,USA,2022-05-20,0.85496604,0.8385933099999999,2022,2022-05,2022Q2,False,0.016731240000000036,0.019960087555420003
United States,USA,2022-05-21,0.8507832,0.8394298742857143,2022,2022-05,2022Q2,True,-0.004182840000000021,-0.004892404849203169
United States,USA,2022-05-22,0.8704424,0.8463016271428572,2022,2022-05,2022Q2,True,0.019659199999999988,0.02310717936132267
United States,USA,2022-05-23,0.8779715,0.8531733914285714,2022,2022-05,2022Q2,False,0.007529100000000066,0.00864973948879344
United States,USA,2022-05-24,0.8783898,0.8599256485714285,2022,2022-05,2022Q2,False,0.0004182999999999826,0.0004764391554850089
United States,USA,2022-05-25,0.94405985,0.8735496557142858,2022,2022-05,2022Q2,False,0.06567005000000004,0.07476185401970747
United States,USA,2022-05-26,0.98714274,0.8948222185714286,2022,2022-05,2022Q2,False,0.043082889999999985,0.04563576133441116
United States,USA,2022-05-27,1.0260429,0.9192617700000001,2022,2022-05,2022Q2,False,0.03890015999999996,0.039406823779102096
United States,USA,2022-05-28,1.0574139,0.9487804414285714,2022,2022-05,2022Q2,True,0.03137100000000004,0.03057474497411361
United States,USA,2022-05-29,1.0996603,0.9815258557142857,2022,2022-05,2022Q2,True,0.04224640000000002,0.03995256729649577
United States,USA,2022-05-30,1.0954775,1.0125981414285714,2022,2022-05,2022Q2,False,-0.004182799999999931,-0.003803720112474651
United States,USA,2022-05-31,1.091713,1.0430728842857142,2022,2022-05,2022Q2,False,-0.0037645000000001705,-0.0034364010214725793
United States,USA,2022-06-01,0.9620459,1.04564232,2022,2022-06,2022Q2,False,-0.12966709999999992,-0.11877398180657361
United States,USA,2022-06-02,0.9181264,1.035782842857143,2022,2022-06,2022Q2,False,-0.0439195,-0.045652187697073465
United States,USA,2022-06-03,0.8662596,1.0129566571428572,2022,2022-06,2022Q2,False,-0.05186679999999999,-0.056492003715392536
United States,USA,2022-06-04,0.87755316,0.9872622657142857,2022,2022-06,2022Q2,True,0.011293560000000036,0.013037154220282288
United States,USA,2022-06-05,0.82777774,0.9484218999999999,2022,2022-06,2022Q2,True,-0.049775420000000015,-0.05672068914890582
United States,USA,2022-06-06,0.82777774,0.9101790771428571,2022,2022-06,2022Q2,False,0.0,0.0
United States,USA,2022-06-07,0.85663915,0.8765970985714286,2022,2022-06,2022Q2,False,0.028861409999999976,0.034866134477112176
United States,USA,2022-06-08,0.94824266,0.8746252071428573,2022,2022-06,2022Q2,False,0.09160351,0.10693360208904767
United States,USA,2022-06-09,0.9942535,0.8855005071428571,2022,2022-06,2022Q2,False,0.04601084,0.04852222109475646
United States,USA,2022-06-10,1.0222783,0.9077888928571429,2022,2022-06,2022Q2,False,0.02802479999999996,0.02818677530428615
United States,USA,2022-06-11,0.9846331,0.9230860271428573,2022,2022-06,2022Q2,True,-0.037645199999999934,-0.036824805926135684
